pincode,state,district,subDistrict,locality
124105,HARYANA,JHAJJAR,Jhajjar,Bahamnola(270)
124106,HARYANA,JHAJJAR,Jhajjar,Birohar(145)
124107,HARYANA,JHAJJAR,Beri,Gochhi(8)
124108,HARYANA,JHAJJAR,Jhajjar,Kahari(253)
124109,HARYANA,JHAJJAR,Jhajjar,Belochpura(216)
124111,HARYANA,ROHTAK,Maham,Ajaib(108)
124112,HARYANA,ROHTAK,Maham,Bedwa(114)
124113,HARYANA,ROHTAK,Rohtak,Katesra(118)
124141,HARYANA,JHAJJAR,Jhajjar,Jharli(154)
124142,HARYANA,JHAJJAR,Jhajjar,Bahu(18-N)
124146,HARYANA,JHAJJAR,Jhajjar,Salhawas (163)
124201,HARYANA,JHAJJAR,Beri,Bisahan(125)
124202,HARYANA,JHAJJAR,Beri,Dubaldhan Kirmian(136)
124303,HARYANA,ROHTAK,Rohtak,Bahmanwas(80)
124401,HARYANA,ROHTAK,Rohtak,Baliana(58)
124404,HARYANA,ROHTAK,Rohtak,Hassangarh(29)
124406,HARYANA,ROHTAK,Rohtak,Humayunpur(50)
124411,HARYANA,ROHTAK,Rohtak,Ghari Balab(120)
124412,HARYANA,ROHTAK,Rohtak,Masudpur(110)
124501,HARYANA,JHAJJAR,Bahadurgarh,Asanda(23)
124504,HARYANA,JHAJJAR,Bahadurgarh,Chhara(17)
124505,HARYANA,JHAJJAR,Bahadurgarh,Barahi(40)
124506,HARYANA,JHAJJAR,Bahadurgarh,Mandothi(53)
124507,HARYANA,JHAJJAR,Bahadurgarh,Bahadurgarh
124508,HARYANA,JHAJJAR,Bahadurgarh,Dulhera(56)
124513,HARYANA,ROHTAK,Maham,Nindana(107)
124514,HARYANA,ROHTAK,Maham,Kherainti(96)
125001,HARYANA,HISAR,Hisar,Arya Nagar(57)
125004,HARYANA,HISAR,Hisar,Arya Nagar(57)
125005,HARYANA,HISAR,Hisar,Daha(10)
125006,HARYANA,HISAR,Hisar,Hisar
125007,HARYANA,HISAR,Hisar,Chiraud(14)
125011,HARYANA,HISAR,Hisar,Hisar
125033,HARYANA,HISAR,Hansi,A.F Hansi
125037,HARYANA,HISAR,Hansi,Mazadpur(31)
125038,HARYANA,HISAR,Hansi,Kagsar
125039,HARYANA,HISAR,Narnaund,Gamra (80)
125042,HARYANA,HISAR,Hansi,Bhatol Jatan (10)
125044,HARYANA,HISAR,Hisar,Kharar Alipur
125047,HARYANA,HISAR,Hisar,Chikanwas(144)
125048,HARYANA,FATEHABAD,Fatehabad,Dhangar(47)
125049,HARYANA,HISAR,Hansi,Kheri Kangan
125050,HARYANA,FATEHABAD,Fatehabad,Ahlisadar
125051,HARYANA,FATEHABAD,Ratia,Alawalwas(167)
125052,HARYANA,HISAR,Adampur,Bagla (26)
125053,HARYANA,FATEHABAD,Fatehabad,Dhabi Khurd(3)
125054,HARYANA,SIRSA,Sirsa,Baguwali(60)
125055,HARYANA,SIRSA,Dabwali,Ahmadpur Darewala(261)
125058,HARYANA,SIRSA,Sirsa,Mochiwali(58)
125060,HARYANA,SIRSA,Sirsa,Baidwala(76)
125075,HARYANA,SIRSA,Sirsa,Dhookara(37)
125076,HARYANA,SIRSA,Rania,Fatehpuria(214)
125077,HARYANA,SIRSA,Dabwali,Nezadela Khurd
125078,HARYANA,SIRSA,Sirsa,Bapp
125101,HARYANA,SIRSA,Dabwali,Asa Khera(268)
125102,HARYANA,SIRSA,Ellenabad,Khari Sureran
125103,HARYANA,SIRSA,Rania,Kussar(226)
125104,HARYANA,SIRSA,Dabwali,Chatha(297)
125106,HARYANA,FATEHABAD,Tohana,Kullan(197)
125110,HARYANA,SIRSA,Sirsa,Darba kalan
125111,HARYANA,HISAR,Hisar,Dhani Gopal
125112,HARYANA,FATEHABAD,Fatehabad,Dehman(60)
125113,HARYANA,HISAR,Hisar,Chamar Khera(67)
125120,HARYANA,FATEHABAD,Tohana,Bhodi(100)
125121,HARYANA,HISAR,Hisar,Biana Khera
125133,HARYANA,FATEHABAD,Tohana,Jakhal Gaon
125201,HARYANA,SIRSA,Sirsa,Jalalana
126101,HARYANA,JIND,Julana,Meherera (44)
126102,HARYANA,JIND,Jind,Ahirka (83)
126110,HARYANA,JIND,Jind,Jind (Rural) (79)
126111,HARYANA,JIND,Jind,Dhillowal (82)
126112,HARYANA,JIND,Safidon,Bagru Khurd (32)
126113,HARYANA,JIND,Safidon,Bhartana (6)
126114,HARYANA,JIND,Jind,Baroli (57)
126115,HARYANA,JIND,Narwana,Alipura (126)
126116,HARYANA,JIND,Narwana,Amritsar (43)
126125,HARYANA,JIND,Jind,Chuharpur (85)
126152,HARYANA,JIND,Narwana,Badanpur (93)
127021,HARYANA,BHIWANI,Bhiwani,Bhiwani
127022,HARYANA,BHIWANI,Dadri,Changrod(179)
127025,HARYANA,BHIWANI,Dadri,Bond Kalan (127)
127026,HARYANA,BHIWANI,Dadri,Birhi Kalan(93)
127027,HARYANA,BHIWANI,Bhiwani,Dhani Harsukh
127028,HARYANA,BHIWANI,Loharu,Sidhanwa (4)
127029,HARYANA,BHIWANI,Bhiwani,Babarwas (142)
127030,HARYANA,BHIWANI,Bhiwani,Bhangarh (63)
127031,HARYANA,BHIWANI,Bhiwani,Mitathal (6)
127032,HARYANA,BHIWANI,Bawani Khera,Barsi (133)
127035,HARYANA,BHIWANI,Bawani Khera,Paposa (41)
127040,HARYANA,BHIWANI,Tosham,Baganwala(37)
127041,HARYANA,BHIWANI,Bhiwani,Mundhal Khurd (57)
127042,HARYANA,BHIWANI,Dadri,Jaitsri (133)
127043,HARYANA,BHIWANI,Tosham,Salewala (75)
127045,HARYANA,BHIWANI,Siwani,Barwa (133)
127046,HARYANA,BHIWANI,Siwani,devsar
127111,HARYANA,BHIWANI,Tosham,Dang Khurd(29)
127114,HARYANA,BHIWANI,Bhiwani,Kharak Khurd (132)
127201,HARYANA,BHIWANI,Loharu,Amirwas(23)
127306,HARYANA,BHIWANI,Dadri,Ghasola (172)
127307,HARYANA,BHIWANI,Dadri,Jhinjar (151)
127308,HARYANA,BHIWANI,Dadri,Huee(23)
127309,HARYANA,BHIWANI,Bhiwani,Badala (118)
127310,HARYANA,BHIWANI,Dadri,Beejna(184)
127311,HARYANA,BHIWANI,Bhiwani,Rajgarh (100)
127312,HARYANA,BHIWANI,Dadri,Badesara
131001,HARYANA,SONIPAT,Sonipat,Sonipat
131021,HARYANA,SONIPAT,Sonipat,Bahalgarh (73)
131022,HARYANA,SONIPAT,Sonipat,Hasanyarpur Tihara Kalan (195)
131023,HARYANA,SONIPAT,Sonipat,Jhundpur (34)
131024,HARYANA,SONIPAT,Sonipat,Shatawli (155)
131027,HARYANA,SONIPAT,Sonipat,Asadpur (22)
131028,HARYANA,SONIPAT,Sonipat,Kundli (55)
131029,HARYANA,SONIPAT,Sonipat,Bazidpur Saboli (57)
131039,HARYANA,SONIPAT,Sonipat,Dhatauri (100)
131101,HARYANA,SONIPAT,Ganaur,Atail (120)
131102,HARYANA,SONIPAT,Ganaur,Mohammadpur Majra (129)
131103,HARYANA,SONIPAT,Sonipat,Kheri Mana jat (61)
131301,HARYANA,SONIPAT,Gohana,Bhainswan Khurd (83)
131302,HARYANA,SONIPAT,Gohana,Bhawar (2)
131304,HARYANA,SONIPAT,Gohana,Banwasa (13)
131305,HARYANA,SONIPAT,Gohana,Ganwari (40)
131306,HARYANA,SONIPAT,Gohana,Bhadauti Khas (49)
131402,HARYANA,SONIPAT,Kharkhoda,Jataula (236)
131403,HARYANA,SONIPAT,Kharkhoda,Jharauti (217)
131408,HARYANA,SONIPAT,Kharkhoda,Garhi Sisana (27-R)
131409,HARYANA,SONIPAT,Gohana,Aanwali (71)
132001,HARYANA,KARNAL,Karnal,Chak Nalvi Par (116)
132022,HARYANA,KARNAL,Karnal,Kunjpura (75)
132023,HARYANA,KARNAL,Karnal,Danialpur (72)
132024,HARYANA,KARNAL,Karnal,Agond (37)
132036,HARYANA,KARNAL,Assandh,Bhambar Heri (69)
132037,HARYANA,KARNAL,Karnal,Dhakwala (121)
132039,HARYANA,KARNAL,Assandh,Bindrala (88)
132040,HARYANA,KARNAL,Gharaunda,Balran Gran (70)
132041,HARYANA,KARNAL,Indri,Badheri (2)
132046,HARYANA,KARNAL,Assandh,Goli (32)
132054,HARYANA,KARNAL,Indri,Chand Samand (50)
132101,HARYANA,PANIPAT,Samalkha,Bapura (70)
132102,HARYANA,PANIPAT,Samalkha,Mahoti (89)
132103,HARYANA,PANIPAT,Panipat,Panipat Taraf Afghan (17)
132104,HARYANA,PANIPAT,Samalkha,Adhmi (56)
132105,HARYANA,PANIPAT,Panipat,Sutana
132106,HARYANA,PANIPAT,Panipat,Bursham
132107,HARYANA,PANIPAT,Israna,Bandh (87)
132108,HARYANA,PANIPAT,Panipat,Pasina Kalan
132113,HARYANA,PANIPAT,Israna,Alupur (60)
132114,HARYANA,KARNAL,Gharaunda,Darulaman Tatarpur (47)
132115,HARYANA,PANIPAT,Samalkha,Karkoli (84)
132116,HARYANA,KARNAL,Karnal,Baldhi (Part)(4)
132117,HARYANA,KARNAL,Nilokheri,Amargarh (66)
132122,HARYANA,PANIPAT,Samalkha,Dehra
132140,HARYANA,PANIPAT,Panipat,Ganjbar (31)
132145,HARYANA,PANIPAT,Israna,Palri (70)
132157,HARYANA,KARNAL,Nilokheri,Abela (24)
133001,HARYANA,AMBALA,Ambala,Ambala
133004,HARYANA,AMBALA,Ambala,BABAHERI
133005,HARYANA,AMBALA,Ambala,BABYAL PO
133006,HARYANA,AMBALA,Ambala,Ambala
133101,HARYANA,AMBALA,Ambala,Akbarpur (131)
133102,HARYANA,AMBALA,Barara,HASANPUR
133103,HARYANA,YAMUNA NAGAR,Jagadhri,Kanahri Kalan (440)
133104,HARYANA,YAMUNA NAGAR,Jagadhri,Bansewala (50)
133201,HARYANA,AMBALA,Barara,Barara (203)
133202,HARYANA,AMBALA,Barara,Barara
133203,HARYANA,AMBALA,Barara,Gokalgarh (76)
133204,HARYANA,YAMUNA NAGAR,Chhachhrauli,Chhachhrauli
133205,HARYANA,AMBALA,Naraingarh,Gobindpur (272)
133206,HARYANA,YAMUNA NAGAR,Chhachhrauli,Burail Majri
133207,HARYANA,AMBALA,Ambala,HOSTEL NO 1-13
133301,HARYANA,AMBALA,Ambala,Getpura (324)
133302,HARYANA,PANCHKULA,Kalka,AYURVEDIC HOSPITAL
134003,HARYANA,AMBALA,Ambala,Janetpur (45)
134007,HARYANA,AMBALA,Ambala,Bari Ghail
134008,HARYANA,AMBALA,Ambala,Ambala
134101,HARYANA,PANCHKULA,Kalka,Kalka
134102,HARYANA,PANCHKULA,Kalka,Khol Mola (101)
134103,HARYANA,PANCHKULA,Panchkula,Panchkula
134104,HARYANA,PANCHKULA,Kalka,Kalka
134107,HARYANA,PANCHKULA,Panchkula,Chandi Mandir (391)
134108,HARYANA,PANCHKULA,Panchkula,Panchkula
134109,HARYANA,PANCHKULA,Panchkula,Majri (Part) (385)
134112,HARYANA,PANCHKULA,Panchkula,Amrala (242)
134113,HARYANA,PANCHKULA,Panchkula,Barauna Chhota (7)
134114,HARYANA,PANCHKULA,Panchkula,Panchkula
134116,HARYANA,AMBALA,Ambala,Gurudwara nada sahib
134117,HARYANA,PANCHKULA,Panchkula,Barauna Kalan (9)
134118,HARYANA,PANCHKULA,Panchkula,Bhanu Khurd
134201,HARYANA,AMBALA,Naraingarh,B D HIGH SCHOOL
134202,HARYANA,YAMUNA NAGAR,Chhachhrauli,Chuharpur Khurd(207)
134203,HARYANA,AMBALA,Naraingarh,Badhouli
134204,HARYANA,PANCHKULA,Panchkula,DANDRALAW
134205,HARYANA,PANCHKULA,Panchkula,ALAAY
135001,HARYANA,YAMUNA NAGAR,Jagadhri,Jagadhri
135002,HARYANA,YAMUNA NAGAR,Jagadhri,9. PEER MAJRA 10. GOLANPUR 11. MANSAPUR
135003,HARYANA,YAMUNA NAGAR,Jagadhri,Bhatauli (405)
135004,HARYANA,YAMUNA NAGAR,Jagadhri,Jagadhri
135021,HARYANA,YAMUNA NAGAR,Chhachhrauli,Begampur (80)
135101,HARYANA,YAMUNA NAGAR,Jagadhri,Bahrampur (131)
135102,HARYANA,YAMUNA NAGAR,Jagadhri,"220 KV Power House, Manylase"
135103,HARYANA,YAMUNA NAGAR,Chhachhrauli,Balauli (208)
135106,HARYANA,YAMUNA NAGAR,Chhachhrauli,Bhilpura (200)
135133,HARYANA,YAMUNA NAGAR,Jagadhri,"4 DERA BAPA ,1. DERA SADHUARA, 2 ALIPUR"
136020,HARYANA,KAITHAL,Kaithal,Jadola (6)
136021,HARYANA,KAITHAL,Kaithal,Sakra (18)
136026,HARYANA,KAITHAL,Kaithal,Badhnara(39)
136027,HARYANA,KAITHAL,Kaithal,Deohera (29)
136030,HARYANA,KURUKSHETRA,Pehowa,Gumthala Garhu (39)
136033,HARYANA,KAITHAL,Guhla,Kakheri (72)
136034,HARYANA,KAITHAL,Guhla,Azim Garh
136035,HARYANA,KAITHAL,Guhla,Duserpur (113)
136038,HARYANA,KURUKSHETRA,Thanesar,Bir Amin (30)
136042,HARYANA,KAITHAL,Kaithal,Doliani (22)
136043,HARYANA,KAITHAL,Kaithal,Karora (46)
136044,HARYANA,KAITHAL,Kaithal,Kathana (61)
136117,HARYANA,KAITHAL,Kaithal,Balu(20)
136118,HARYANA,KURUKSHETRA,Thanesar,Bishan Garh
136119,HARYANA,KURUKSHETRA,Thanesar,Chanartahl
136128,HARYANA,KURUKSHETRA,Pehowa,Bherian (42)
136129,HARYANA,KURUKSHETRA,Shahbad,Fatehgarh Majra Chamun (293)
136130,HARYANA,KURUKSHETRA,Thanesar,Salpani Khurd (412)
136131,HARYANA,KURUKSHETRA,Thanesar,Antehri
136132,HARYANA,KURUKSHETRA,Thanesar,Bapda (74)
136135,HARYANA,KURUKSHETRA,Thanesar,Dhantauri (97)
136136,HARYANA,KURUKSHETRA,Shahbad,Ajrawar (314)
136156,HARYANA,KURUKSHETRA,Thanesar,Ghisarpari (148)
140001,PUNJAB,RUPNAGAR,Rupnagar,Aurnauli
140101,PUNJAB,RUPNAGAR,Rupnagar,Dhangrali
140102,PUNJAB,RUPNAGAR,Rupnagar,Bara Samana
140103,PUNJAB,RUPNAGAR,Rupnagar,Bhagowal
140108,PUNJAB,RUPNAGAR,Rupnagar,Atalgarh
140109,PUNJAB,RUPNAGAR,Kharar,Gochar
140110,PUNJAB,RUPNAGAR,Kharar,Baraudi
140111,PUNJAB,RUPNAGAR,Rupnagar,Balrampur
140112,PUNJAB,RUPNAGAR,Rupnagar,Katlaur
140113,PUNJAB,RUPNAGAR,Rupnagar,Balrampur
140114,PUNJAB,RUPNAGAR,Rupnagar,Bharatgarh
140115,PUNJAB,RUPNAGAR,Rupnagar,Shahpur
140116,PUNJAB,RUPNAGAR,Anandpur Sahib,Badhal
140117,PUNJAB,RUPNAGAR,Anandpur Sahib,Baihara
140118,PUNJAB,RUPNAGAR,Rupnagar,TAPPERIAN
140119,PUNJAB,RUPNAGAR,Anandpur Sahib,Asalatpur
140123,PUNJAB,RUPNAGAR,Anandpur Sahib,Lamlehri
140124,PUNJAB,RUPNAGAR,Anandpur Sahib,Nangal
140125,PUNJAB,RUPNAGAR,Anandpur Sahib,Palsari
140126,PUNJAB,RUPNAGAR,Anandpur Sahib,Bainspur
140133,PUNJAB,RUPNAGAR,Anandpur Sahib,Harsabela
140201,PUNJAB,PATIALA,Dera Bassi,Pandwala
140301,PUNJAB,RUPNAGAR,Kharar,Abhepur
140306,PUNJAB,RUPNAGAR,S.A.S.Nagar (Mohali),Dhurali
140307,PUNJAB,RUPNAGAR,Kharar,Chuhar Majra
140308,PUNJAB,RUPNAGAR,S.A.S.Nagar (Mohali),Mauli Baidwan
140401,PUNJAB,PATIALA,Rajpura,Rajpura
140402,PUNJAB,PATIALA,Rajpura,Bakshiwala
140405,PUNJAB,FATEHGARH SAHIB,Fatehgarh Sahib,Fetehpur
140406,PUNJAB,FATEHGARH SAHIB,Fatehgarh Sahib,Arain Majra
140407,PUNJAB,FATEHGARH SAHIB,Fatehgarh Sahib,Fatehgarh Sahib
140408,PUNJAB,FATEHGARH SAHIB,Fatehgarh Sahib,Khera
140412,PUNJAB,FATEHGARH SAHIB,Bassi Pathana,Bassi
140413,PUNJAB,RUPNAGAR,S.A.S.Nagar (Mohali),BAJHERI
140417,PUNJAB,PATIALA,Rajpura,Basma
140501,PUNJAB,PATIALA,Dera Bassi,Ambchhapa
140506,PUNJAB,PATIALA,Dera Bassi,Hassanpur
140507,PUNJAB,PATIALA,Dera Bassi,Bahadurgarh
140601,PUNJAB,PATIALA,Rajpura,Jhansli
140602,PUNJAB,FATEHGARH SAHIB,Fatehgarh Sahib,Bhua Kheri
140603,PUNJAB,PATIALA,Rajpura,BISHANPURA
140604,PUNJAB,PATIALA,Dera Bassi,Bartana
140701,PUNJAB,PATIALA,Patiala,Abdulpur
140702,PUNJAB,PATIALA,Rajpura,Lachhru Kalan
140802,PUNJAB,LUDHIANA,Payal,Ranwan
140901,CHANDIGARH,CHANDIGARH,Chandigarh,Khuda Jassu
141001,PUNJAB,LUDHIANA,Ludhiana (East),Ludhiana (East)
141002,PUNJAB,LUDHIANA,Ludhiana (East),Ludhiana (East)
141003,PUNJAB,LUDHIANA,Ludhiana (East),Ludhiana (East)
141004,PUNJAB,LUDHIANA,Ludhiana (East),Ludhiana (East)
141006,PUNJAB,LUDHIANA,Ludhiana (East),Ludhiana (East)
141007,PUNJAB,LUDHIANA,Ludhiana (East),Dheri
141008,PUNJAB,LUDHIANA,Ludhiana (West),Bahadarke
141010,PUNJAB,LUDHIANA,Ludhiana (East),Ludhiana (East)
141012,PUNJAB,LUDHIANA,Ludhiana (East),Ludhiana (East)
141013,PUNJAB,LUDHIANA,Ludhiana (East),Ludhiana (East)
141014,PUNJAB,LUDHIANA,Ludhiana (East),Ludhiana (East)
141015,PUNJAB,LUDHIANA,Ludhiana (East),Kariana Kalan
141016,PUNJAB,LUDHIANA,Ludhiana (West),Ludhiana (West)
141017,PUNJAB,LUDHIANA,Ludhiana (East),Ludhiana (East)
141101,PUNJAB,LUDHIANA,Ludhiana (West),Jangpur
141102,PUNJAB,LUDHIANA,Raikot,Baraich
141103,PUNJAB,LUDHIANA,Ludhiana (West),Mohi
141104,PUNJAB,LUDHIANA,Raikot,Ghuman
141105,PUNJAB,LUDHIANA,Raikot,Rattowal
141106,PUNJAB,LUDHIANA,Raikot,Halwara
141107,PUNJAB,LUDHIANA,Raikot,Barmi
141108,PUNJAB,LUDHIANA,Raikot,Bhaini Rora
141109,PUNJAB,LUDHIANA,Raikot,Dhurkot
141110,PUNJAB,LUDHIANA,Ludhiana (West),Chak Kalan
141112,PUNJAB,LUDHIANA,Ludhiana (East),Bhairo Munna
141113,PUNJAB,LUDHIANA,Ludhiana (East),Chak Sarwan Nath
141114,PUNJAB,LUDHIANA,Samrala,Bhagwanpura
141115,PUNJAB,LUDHIANA,Samrala,Garhi Tarkhana
141116,PUNJAB,LUDHIANA,Ludhiana (West),Alamgir
141117,PUNJAB,LUDHIANA,Payal,Jhamat
141118,PUNJAB,LUDHIANA,Ludhiana (East),Saya Khurd
141119,PUNJAB,LUDHIANA,Payal,Chak Slhandaud
141120,PUNJAB,LUDHIANA,Ludhiana (East),Majara
141121,PUNJAB,LUDHIANA,Samrala,Sehjo Majra
141122,PUNJAB,LUDHIANA,Ludhiana (East),Nat
141123,PUNJAB,LUDHIANA,Ludhiana (East),Mundian Khurd
141125,PUNJAB,LUDHIANA,Samrala,Bir Kakrala
141126,PUNJAB,LUDHIANA,Ludhiana (East),Gehlewal
141127,PUNJAB,LUDHIANA,Ludhiana (East),Salkiana
141201,PUNJAB,LUDHIANA,Ludhiana (East),Qilla Raipur
141202,PUNJAB,LUDHIANA,Ludhiana (West),Chaminda
141203,PUNJAB,LUDHIANA,Ludhiana (West),Lohgarh
141204,PUNJAB,LUDHIANA,Ludhiana (West),Brahman Majra
141205,PUNJAB,LUDHIANA,Raikot,Maherna Kalan
141206,PUNJAB,LUDHIANA,Ludhiana (East),Bhutta
141401,PUNJAB,LUDHIANA,Khanna,Ismailpur
141411,PUNJAB,FATEHGARH SAHIB,Khamanon,Bhari
141412,PUNJAB,LUDHIANA,Khanna,Bahu Majra
141413,PUNJAB,LUDHIANA,Payal,Mangewal
141414,PUNJAB,LUDHIANA,Khanna,Baghaur
141415,PUNJAB,LUDHIANA,Payal,Mahpur
141416,PUNJAB,LUDHIANA,Payal,Shahpur
141417,PUNJAB,LUDHIANA,Samrala,Kalal Majra
141418,PUNJAB,LUDHIANA,Samrala,Balala
141419,PUNJAB,LUDHIANA,Payal,Ghudani Kalan
141421,PUNJAB,LUDHIANA,Payal,Dugri
141422,PUNJAB,LUDHIANA,Raikot,Hisowal
141801,PUNJAB,FATEHGARH SAHIB,Khamanon,Dhanaula
142001,PUNJAB,MOGA,Moga,Duneke
142002,PUNJAB,MOGA,Moga,Khote
142003,PUNJAB,MOGA,Moga,Rauli
142011,PUNJAB,MOGA,Moga,Dhurkot Kalan
142021,PUNJAB,LUDHIANA,Ludhiana (West),Pamal
142022,PUNJAB,LUDHIANA,Ludhiana (West),Kheri
142023,PUNJAB,LUDHIANA,Jagraon,Gurah
142024,PUNJAB,LUDHIANA,Jagraon,Barsal
142025,PUNJAB,LUDHIANA,Ludhiana (West),Khanjarwal
